Name,Year,Group,Status,Birth Date,Birth Place,Birth Place Copy,latitue,logtitude,Gender,Alma Mater,Undergraduate Major,Graduate Major,Military Rank,Military Branch,Space Flights,Space Flight (hr),Space Walks,Space Walks (hr),Missions,Death Date,Death Mission
Henry W. Hartsfield Jr. ,1969,7,Retired,11/21/1933,"Birmingham, AL",Birmingham,33.525,-86.813,Male,Auburn University; University of Tennessee,Physics,Engineering Science,Colonel,US Air Force (Retired),3,482,0,0,"STS-4 (Columbia), STS 41-D (Discovery), STS 61-A (Challenger)",,
Brian Duffy,1985,11,Retired,6/20/1953,"Boston, MA",Boston,42.3581,-71.0636,Male,US Air Force Academy; University of Southern California,Mathematics,Systems Management,Colonel,US Air Force (Retired),4,977,0,0,"STS-45 (Atlantis), STS-57 (Endeavor), STS-72 (Endeavor), STS-92 (Discovery)",,
S. Christa McAuliffe,,,Deceased,9/2/1948,"Boston, MA",Boston,42.3581,-71.0636,Female,Framingham State College; Bowie State College,Education,Education,,,1,0,0,0,STS 51-L (Challenger),1/28/1986,STS 51-L (Challenger)
Bruce McCandless II ,1966,5,Retired,6/8/1937,"Boston, MA",Boston,42.3581,-71.0636,Male,US Naval Academy; Stanford University; University of Houston-Clear Lake,,Electrical Engineering; Business Administration,Captain,US Navy (Retired),2,312,2,12,"STS 41-B (Challenger), STS-31 (Discovery)",,
Story Musgrave,1967,6,Retired,8/19/1935,"Boston, MA",Boston,42.3581,-71.0636,Male,Syracuse University; Marietta College; University of California-Los Angeles; University of Kentucky; University of Houston; Columbia University,Mathematics & Statistics; Chemistry,Business Administration; Physiology; Literature; Medicine,,,6,1281,4,26,"STS-6 (Challenger), STS 51-F (Challenger), STS-33 (Discovery), STS-44 (Atlantis), STS-61 (Endeavor), STS-80 (Columbia)",,
Brian T. O'Leary,1967,6,Deceased,1/27/1940,"Boston, MA",Boston,42.3581,-71.0636,Male,Williams College; Georgetown University; University of California-Berkeley,Physics,Astronomy,,,0,0,0,0,,7/28/2011,
Albert Sacco Jr.,,,Retired,5/3/1949,"Boston, MA",Boston,42.3581,-71.0636,Male,Northeastern University; MIT,Chemical Engineering,Chemical Engineering,,,1,381,0,0,STS-73 (Columbia),,
Stephanie D. Wilson,1996,16,Active,9/27/1966,"Boston, MA",Boston,42.3581,-71.0636,Female,Harvard University; University of Texas,Engineering Science,Aerospace Engineering,,,3,1031,0,0,"STS-121 (Discovery), STS-120 (Discovery), STS-131 (Discovery)",,
M. Scott Carpenter,1959,1,Retired,5/1/1925,"Boulder, CO",Boulder,40.0176,-105.2797,Male,University of Colorado,Aeronautical Engineering,,Commander,US Navy (Retired),1,4,0,0,Mercury 7,,
Daniel W. Bursch,1990,13,Retired,7/25/1957,"Bristol, PA",Bristol,40.0957,-74.8583,Male,US Naval Academy; US Naval Postgraduate School,Physics,Engineering Science,Captain,US Navy (Retired),4,5446,2,12,"STS-51 (Discovery), STS-68 (Endeavor), STS-77 (Endeavor), STS-108/111 (Endeavor)",,
Mario Runco Jr. ,1987,12,Management,1/26/1952,"Bronx, NY",Bronx,40.8262,-73.9203,Male,City College of New York; Rutgers University,Earth & Planetary Science,Atmospheric Physics,Lieutenant Commander,US Navy (Retired),3,551,0,0,"STS-44 (Atlantis), STS-54 (Endeavor), STS-77 (Endeavor)",4/23/2001,
Martin J. Fettman,,,Retired,12/31/1956,"Brooklyn, NY",Brooklyn,40.6925,-73.991,Male,Cornell University; Colorado State University,Animal Nutrition,Physiology,,,1,336,0,0,STS-58 (Columbia),,
Jeffrey A. Hoffman,1978,8,Retired,11/2/1944,"Brooklyn, NY",Brooklyn,40.6925,-73.991,Male,Amherst College; Rice University; Harvard University,Astronomy,Materials Science; Astrophysics,,,5,1211,4,25,"STS 51-D (Discovery), STS-35 (Columbia), STS-46 (Atlantis), STS-61 (Endeavor), STS-75 (Columbia)",,
Terence T. Henricks,1985,11,Retired,7/5/1952,"Bryan, OH",Bryan,41.4728,-84.5519,Male,US Air Force Academy; Golden Gate University,Civil Engineering,Public Administration,Colonel,US Air Force (Retired),4,1026,0,0,"STS-44 (Atlantis), STS-55 (Columbia), STS-70 (Discovery), STS-78 (Columbia)",,
Fernando Caldeiro,1996,16,Deceased,6/12/1958,"Buenos Aires, Argentina",Buenos Aires,-34.6036844,-58.3815591,Male,University of Arizona; University of Central Florida,Mechanical Engineering,Engineering Management,,,0,0,0,0,,10/3/2009,
Edward G. Gibson,1965,4,Retired,11/8/1936,"Buffalo, NY",Buffalo,42.8877,-78.8794,Male,University of Rochester; California Institute of Technology,Engineering,Engineering,,,1,2017,3,15,Skylab 4,,
James A. Pawelczyk,,,Retired,9/20/1960,"Buffalo, NY",Buffalo,42.8877,-78.8794,Male,University of Rochester; Pennsylvania State University; University of North Texas,Biology & Psychology,Physiology; Biology,,,1,381,0,0,STS-90 (Columbia),,
James M. Kelly,1996,16,Management,5/14/1964,"Burlington, IA",Burlington,40.8081,-91.1158,Male,US Air Force Academy; University of Alabama,Astronautical Engineering,Aerospace Engineering,Colonel,US Air Force (Retired),2,641,0,0,"STS-102 (Discovery), STS-114 (Discovery)",,
John H. Glenn Jr. ,1959,1,Retired,7/18/1921,"Cambridge, OH",Cambridge,40.025,-81.5867,Male,Muskingum College,Engineering,,Colonel,US Marine Corps (Retired),2,218,0,0,"Mercury 6, STS-95 (Discovery)",,
Steven R. Nagel,1978,8,Retired,10/27/1946,"Canton, IL",Canton,40.5578,-90.0342,Male,University of Illinois; California State University-Fresno,Aerospace Engineering,Mechanical  Engineering,Colonel,US Air Force (Retired),4,721,0,0,"STS 51-G (Discovery), STS 61-A (Challenger), STS-37 (Atlantis), STS-55 (Columbia)",,
Linda M. Godwin,1985,11,Retired,7/2/1952,"Cape Girardeau, MO",Cape Girardeau,37.3092,-89.5464,Female,Southeast Missouri State; University of Missouri,Mathematics & Physics,Physics,,,4,918,2,10,"STS-37 (Atlantis), STS-59 (Endeavor), STS-76 (Atlantis), STS-108 (Endeavor)",,
John A. Llewellyn,1967,6,Retired,4/22/1933,"Cardiff, Wales",Cardiff,51.4813,-3.1805,Male,University College at Cardiff,Chemistry,Chemistry,,,0,0,0,0,,,
F. Andrew Gaffney,,,Retired,6/9/1946,"Carlsbad, NM",Carlsbad,32.4119,-104.2364,Male,University of California-Berkeley; University of New Mexico,Psychology,Medicine,,,1,218,0,0,STS-40 (Columbia),,
Brewster H. Shaw Jr. ,1978,8,Retired,5/16/1945,"Cass City, MI",Cass City,43.5994,-83.1764,Male,University of Wisconsin,Engineering Mechanics,Engineering Mechanics,Colonel,US Air Force (Retired),3,533,0,0,"STS-9 (Columbia), STS 61-B (Atlantis), STS-28 (Columbia)",,
Carl J. Meade,1985,11,Retired,11/16/1950,"Chanute Air Force Base, IL",Rantoul,40.3047,-88.1519,Male,University of Texas; California Institute of Technology,Electronics Engineering,Electronics Engineering,Colonel,US Air Force (Retired),3,712,1,6,"STS-38 (Atlantis), STS-50 (Columbia), STS-64 (Discovery)",,
George D. Nelson,1978,8,Retired,7/13/1950,"Charles City, IA",Charles City,43.0664,-92.6758,Male,Harvey Mudd College; University of Washington,Physics,Astronomy,,,3,411,2,10,"STS 41-C (Challenger), STS 61-C (Columbia), STS-26 (Discovery)",,
Catherine G. Coleman,1992,14,Active,12/14/1960,"Charleston, SC",Charleston,32.7831,-79.9344,Female,MIT; University of Massachusetts,Chemistry,Polymer Science & Engineering,Colonel,US Air Force (Retired),3,4324,0,0,"STS-73 (Columbia), STS-93 (Columbia), ISS-26/27 (Soyuz)",,
Frank L. Culbertson Jr. ,1984,10,Retired,5/15/1949,"Charleston, SC",Charleston,32.7831,-79.9344,Male,US Naval Academy,Aerospace Engineering,,Captain,US Navy (Retired),3,3446,1,5,"STS-38 (Atlantis), STS-51 (Discovery), STS-105/108 (Discovery/Endeavor)",,
Jon A. McBride,1978,8,Retired,8/14/1943,"Charleston, WV",Charleston,38.3472,-81.6333,Male,US Naval Postgraduate School,Aeronautical Engineering,,Captain,US Navy (Retired),1,197,0,0,STS 41-G (Challenger),,
Charles M. Duke Jr. ,1966,5,Retired,10/3/1935,"Charlotte, NC",Charlotte,35.2238,-80.8411,Male,US Naval Academy; MIT,Naval Sciences,Aeronautics,Brigadier General,US Air Force (Retired),1,265,3,20,Apollo 16,,
Susan J. Helms,1990,13,Retired,2/26/1958,"Charlotte, NC",Charlotte,35.2238,-80.8411,Female,US Air Force Academy; Stanford University,Aeronautical Engineering,Aeronautics & Astronautics,Lieutenant General,US Air Force,5,5063,1,9,"STS-54 (Endeavor), STS-64 (Discovery), STS-78 (Columbia), STS-101 (Atlantis), STS-102/105 (Discovery)",,
Tamara E. Jernigan,1985,11,Retired,5/7/1959,"Chattanooga, TN",Chattanooga,35.0456,-85.2672,Female,Stanford University; University of California-Berkeley; Rice University,Physics,Engineering Science; Astronomy,,,5,1489,1,8,"STS-40 (Columbia), STS-52 (Columbia), STS-67 (Endeavor), STS-80 (Columbia), STS-98 (Discovery)",,
Richard R. Arnold II ,2004,19,Active,11/26/1963,"Cheverly, MD",Cheverly,38.9245,-76.9135,Male,Frostburg State University; University of Maryland,Accounting,Environmental Science,,,1,307,2,12,STS-119 (Discovery),,
Eugene A. Cernan,1963,3,Retired,3/14/1934,"Chicago, IL",Chicago,41.8832,-87.6324,Male,Purdue University; US Naval Postgraduate School,Electrical Engineering,Aeronautical Engineering,Captain,US Navy (Retired),3,566,4,24,"Gemini 9, Apollo 10, Apollo 17",,
John M. Grunsfeld,1992,14,Management,10/10/1958,"Chicago, IL",Chicago,41.8832,-87.6324,Male,MIT; University of Chicago,Physics,Physics,,,5,1407,8,58,"STS-67 (Endeavor), STS-81 (Atlantis), STS-103 (Discovery), STS-125 (Atlantis), STS-109 (Columbia)",,
Joan E. Higginbotham,1996,16,Retired,8/3/1964,"Chicago, IL",Chicago,41.8832,-87.6324,Female,Southern Illinois University-Carbondale; Florida Institute of Technology,Electrical Engineering,Business Management; Space Systems,,,1,308,0,0,STS-116 (Discovery),,
Thomas K. Mattingly II ,1966,5,Retired,3/17/1936,"Chicago, IL",Chicago,41.8832,-87.6324,Male,Auburn University,Aeronautical Engineering,,Rear Admiral,US Navy (Retired),3,508,1,1,"Apollo 16, STS-4 (Columbia), STS 51-C (Discovery)",,
James A. McDivitt,1984,2,Retired,6/10/1929,"Chicago, IL",Chicago,41.8832,-87.6324,Male,University of Michigan,Astronautical Engineering,,Brigadier General,US Air Force (Retired),2,338,0,0,"Gemini 4, Apollo 9",,
Charles Lacy Veach,1984,10,Deceased,9/18/1944,"Chicago, IL",Chicago,41.8832,-87.6324,Male,US Air Force Academy,Engineering Management,,,,2,436,0,0,"STS-39 (Discovery), STS-52 (Columbia)",10/3/1995,
Neil W. Woodward III ,1998,17,Retired,7/26/1962,"Chicago, IL",Chicago,41.8832,-87.6324,Male,MIT; University of Texas-Austin; George Washington University,Physics,Physics; Business Management,Commander,US Navy,0,0,0,0,,,
Karl G. Henize,1967,6,Deceased,10/17/1926,"Cincinnati, OH",Cincinnati,39.1037,-84.5136,Male,University of Virginia; University of Michigan,Mathematics,Astronomy,,,1,190,0,0,STS 51-F (Challenger),10/5/1993,
Francis R. Scobee,1978,8,Deceased,5/19/1939,"Cle Elum, WA",Cle Elum,47.1947,-120.9364,Male,University of Arizona,Aerospace Engineering,,Major,US Air Force (Retired),2,167,0,0,"STS 41-C (Challenger), STS 51-L (Challenger)",1/28/1986,STS 51-L (Challenger)
Kenneth D. Cameron,1984,10,Retired,11/29/1949,"Cleveland, OH",Cleveland,41.4822,-81.6697,Male,MIT; Michigan State University,Aeronautics & Astronautics,Aeronautics & Astronautics; Business Administration,Colonel,US Marine Corps (Retired),3,562,0,0,"STS-37 (Atlantis), STS-56 (Discovery), STS-74 (Atlantis)",,
Gregory J. Harbaugh,1987,12,Retired,4/15/1956,"Cleveland, OH",Cleveland,41.4822,-81.6697,Male,Purdue University; University of Houston-Clear Lake,Aeronautical & Astronautical Engineering,Physical Science,,,4,817,3,18,"STS-39 (Discovery), STS-54 (Endeavor), STS-71 (Atlantis), STS-82 (Discovery)",,
James A. Lovell Jr. ,1962,2,Retired,3/25/1928,"Cleveland, OH",Cleveland,41.4822,-81.6697,Male,US Naval Academy,,,Captain,US Navy (Retired),4,715,0,0,"Gemini 7, Gemini 12, Apollo 8, Apollo 13",,
G. David Low,1984,10,Deceased,2/19/1956,"Cleveland, OH",Cleveland,41.4822,-81.6697,Male,Washington & Lee University; Cornell University; Stanford University,Physics & Engineering,Mechanical Engineering; Aeronautics & Astronautics,,,3,714,1,6,"STS-32 (Columbia), STS-43 (Atlantis), STS-57 (Endeavor)",3/15/2008,
Ronald M. Sega,1990,13,Retired,12/4/1952,"Cleveland, OH",Cleveland,41.4822,-81.6697,Male,US Air Force Academy; Ohio State University; University of Colorado,Physics & Mathematics,Physics; Electrical Engineering,Colonel,US Air Force Reserves (Retired),2,420,0,0,"STS-60 (Discovery), STS-76 (Atlantis)",,
Donald A. Thomas,1990,13,Retired,5/6/1955,"Cleveland, OH",Cleveland,41.4822,-81.6697,Male,Case Western Reserve University; Cornell University,Physics,Materials Science,,,4,1040,0,0,"STS-65 (Columbia), STS-70 (Discovery), STS-83 (Columbia), STS-94 (Columbia)",,
Carl E. Walz,1990,13,Retired,9/6/1955,"Cleveland, OH",Cleveland,41.4822,-81.6697,Male,Kent State University; John Carroll University,Physics,Solid State Physics,Colonel,US Air Force,4,5533,3,19,"STS-51 (Discovery), STS-65 (Columbia), STS-79 (Atlantis), STS-108/111 (Endeavor)",,
Mary E. Weber,1992,14,Retired,8/24/1962,"Cleveland, OH",Cleveland,41.4822,-81.6697,Female,Purdue University; University of California-Berkeley,Chemical Engineering,Physical Chemistry,,,2,450,0,0,"STS-70 (Discovery), STS-101 (Atlantis)",,
David C. Hilmers,1980,9,Retired,1/28/1950,"Clinton, IA",Clinton,41.8389,-90.1907,Male,Cornell University; US Naval Postgraduate School,Mathematics,Electrical Engineering,Colonel,US Marine Corps (Retired),4,494,0,0,"ST 51-J (Atlantis), STS-26 (Discovery), STS-36 (Atlantis), STS-42 (Discovery)",,
N. Jan Davis,1987,12,Retired,11/1/1953,"Cocoa Beach, FL",Cocoa Beach,28.3311,-80.6131,Female,Georgia Institute of Technology; Auburn University; University of Alabama-Huntsville,Applied Biology; Mechanical Engineering,Mechanical Engineering,,,3,673,0,0,"STS-47 (Endeavor), STS-60 (Discovery), STS-85 (Discovery)",,
Stephen G. Bowen,2000,18,Active,2/13/1964,"Cohasset, MA",Cohasset,42.2417,-70.8042,Male,US Naval Academy; MIT,Electrical Engineering,Ocean Engineering,Captain,US Navy,3,970,7,47,"STS-126 (Endeavor), STS-132 (Atlantis), STS-133 (Discovery)",,
Dorothy M. Metcalf-Lindenberger,2004,19,Active,5/2/1975,"Colorado Springs, CO",Colorado Springs,38.8352,-104.8198,Female,Whitman College,Geology,,,,1,362,0,0,STS-131 (Discovery),,
Charles F. Bolden Jr. ,1980,9,Management,8/19/1946,"Columbia, SC",Columbia,34.0093,-81.0371,Male,US Naval Academy; University of Southern California,Electrical Science,Systems Management,Major General,US Marine Corps (Retired),4,680,0,0,"STS-61C (Columbia), STS-31 (Discovery), STS-45 (Atlantis), STS-60 (Discovery)",,
David M. Walker,1978,8,Deceased,5/20/1944,"Columbus, GA",Columbus,32.4922,-84.9403,Male,US Naval Academy,Naval Sciences,,Captain,US Navy (Retired),4,724,0,0,"STS 51-A (Discovery), STS-30 (Atlantis), STS-53 (Discovery), STS-69 (Endeavor)",4/23/2001,
Donn F. Eisele,1963,3,Deceased,5/23/1930,"Columbus, OH",Columbus,39.9833,-82.9833,Male,US Naval Academy; US Air Force Institute of Technology,Astronautics,Astronautics,Colonel,US Air Force (Retired),1,260,0,0,Apollo 7,12/2/1987,
Michael J. Foreman,1998,17,Management,3/29/1957,"Columbus, OH",Columbus,39.9833,-82.9833,Male,US Naval Academy; US Naval Postgraduate School,Aerospace Engineering,Aeronautical Engineering,Captain,US Navy (Retired),2,637,5,32,"STS-123 (Endeavor), STS-129 (Atlantis)",,
Robert L. Gibson,1978,8,Retired,10/30/1946,"Cooperstown, NY",Cooperstown,42.6972,-74.9269,Male,California Polytechnic Institute,Aeronautical Engineering,,Captain,US Navy (Retired),5,868,0,0,"STS 41-B (Challenger), STS 61-C (Columbia), STS-27 (Atlantis), STS-47 (Endeavor), STS-71 (Atlantis)",,
James S. Voss,1987,12,Retired,3/3/1949,"Cordova, AL",Cordova,33.7617,-87.1877,Male,Auburn University; University of Colorado,Aerospace Engineering,Aerospace Engineering Sciences,Colonel,US Army (Retired),5,4853,4,22,"STS-44 (Atlantis), STS-53 (Discovery), STS-69 (Endeavor), STS-101 (Atlantis), STS-102/105 (Discovery)",,
Joseph P. Allen,1967,6,Retired,6/27/1937,"Crawsfordsville, IN",Crawfordsville,40.0389,-86.8967,Male,DePauw University; Yale University,Mathematics & Physics,Physics,,,2,313,2,12,"ST-5 (Columbia), STS 51-A (Discovery)",,
Walter Cunningham,1963,3,Retired,3/16/1932,"Creston, IA",Creston,41.0592,-94.3644,Male,University of California-Los Angeles,Physics,Physics,Colonel,US Marine Corps Reserves,1,260,0,0,Apollo 7,,
Robert L. Behnken,2000,18,Active,7/28/1970,"Creve Couer, MO",Creve Coeur,38.6672,-90.4425,Male,Washington University; California Institute of Technology,Physics & Mechanical Engineering,Mechanical Engineering,Colonel,US Air Force,2,708,6,37,"STS-123 (Endeavor), STS-130 (Endeavor)",,
Piers J. Sellers,1996,16,Management,4/11/1955,"Crowborough, England",Crowborough,51.06,0.16,Male,University of Edinburgh; Leeds University,Ecological Science,Biometeorology,,,3,839,6,41,"STS-112 (Atlantis), STS-121 (Discovery), STS-132 (Atlantis)",,
Jerry L. Ross,1980,9,Retired,1/20/1948,"Crown Point, IN",Crown Point,41.4217,-87.3561,Male,Purdue University,Mechanical Engineering,Mechanical Engineering,Colonel,US Air Force (Retired),7,1393,9,58,"ST 61-B (Atlantis), ST-27 (Atlantis), ST-37 (Atlantis), STS-55 (Columbia), STS-74 (Atlantis), STS-88 (Endeavor), STS-110 (Atlantis)",,
Jeffrey S. Ashby,1995,15,Retired,6/1/1954,"Dallas, TX",Dallas,32.7758,-96.7967,Male,University of Idaho; University of Tennessee,Mechanical Engineering,Aviation Systems,Captain,US Navy (Retired),3,655,0,0,"STS-93 (Columbia), STS-100 (Endeavor), STS-112 (Atlantis)",,
William F. Fisher,1980,9,Retired,4/1/1946,"Dallas, TX",Dallas,32.7758,-96.7967,Male,Stanford University; University of Houston; University of Florida,,Engineering; Medicine,,,1,170,2,12,STS 51-I (Discovery),,
